epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,timestamp
20,1.4919971469209572,0.5807962060873275,0.5571163874298296,1.720614645729065,0.53878,0.5095100072943218,1.623869018208499e-05,0.00027064483636808314,2026-02-18T20:01:13.328598
21,1.4763939310961471,0.5849030187740009,0.5618431838818505,1.7282094466209412,0.53532,0.5077476065245626,1.5e-05,0.00025,2026-02-18T20:20:47.177653
22,1.4602243035730775,0.5881898023040819,0.5657397105201315,1.7268084608459473,0.53862,0.5097631687477185,1.3761309817915017e-05,0.00022935516363191695,2026-02-18T20:40:16.974661
23,1.4435147328323192,0.5919766036125729,0.5701405361677017,1.724999631767273,0.53874,0.5084281208358477,1.2531081145788989e-05,0.00020885135242981647,2026-02-18T20:59:48.035090
24,1.4293629996189265,0.5946300312900015,0.5733637034238517,1.7259768295669555,0.5379,0.5110081700885848,1.1317717692888014e-05,0.00018862862821480023,2026-02-18T21:19:19.696953
25,1.4135343846717305,0.5981034881240221,0.5772092436277225,1.7351502931213378,0.53808,0.5067768921312128,1.0129507961929749e-05,0.00016882513269882916,2026-02-18T21:38:50.060968
26,1.3995130590627176,0.6016169463803157,0.5812707554191612,1.7270406108856202,0.53896,0.5139735889490108,8.974568630205462e-06,0.0001495761438367577,2026-02-18T21:58:22.109627
27,1.3826311554475217,0.6064860083914094,0.5866645738086651,1.7384249919128418,0.5385,0.5131025617823323,7.860789104443897e-06,0.0001310131517407316,2026-02-18T22:17:45.201629
28,1.3697165821943458,0.6087816455696202,0.589455146185287,1.747555019493103,0.53922,0.5128339822001595,6.795777628163599e-06,0.00011326296046939332,2026-02-18T22:37:14.476330
29,1.3552361656313616,0.6125662245768738,0.5938220855739259,1.7493606299591065,0.5379,0.5141237863270791,5.786809309654983e-06,9.644682182758304e-05,2026-02-18T22:56:50.353271
30,1.343137749875699,0.6151396494097567,0.596718634112511,1.7454073444366456,0.53734,0.5128203908900172,4.840776425613887e-06,8.067960709356478e-05,2026-02-18T23:16:26.208233
31,1.3306499348690832,0.6180064180059736,0.6000440737519017,1.7503493630981446,0.53898,0.515389894053557,3.964141339903026e-06,6.60690223317171e-05,2026-02-18T23:36:01.241309
32,1.3205815120384918,0.6208665196984782,0.6031013719482635,1.751660797805786,0.5371,0.5130232144088576,3.162892359054098e-06,5.271487265090164e-05,2026-02-18T23:55:36.461481
33,1.310712250905667,0.6231910467927748,0.6057996906657181,1.7606540194511413,0.53718,0.5138739057709705,2.442502826062072e-06,4.0708380434367864e-05,2026-02-19T00:15:14.006178
34,1.3011719123463663,0.625300010667046,0.6080598648330168,1.7609887491989136,0.5372,0.5125008378083646,1.8078937319026655e-06,3.013156219837776e-05,2026-02-19T00:34:49.296643
35,1.29494395659016,0.6269178459678566,0.6100690924540638,1.7616640579986573,0.53712,0.5144712281072665,1.2634001001741375e-06,2.1056668336235624e-05,2026-02-19T00:54:27.051826
